neighbourhood,price,overall_rating,review_accuracy,review_cleanliness,review_checking,review_communication,review_location,review_value
Bayview,133.8,95.68,9.84,9.64,10,10,8.88,9.44
Bernal Heights,113.8,97,9.96,9.88,9.96,9.96,9.72,9.76
Castro/Upper Market,143.8,97.28,9.96,9.84,10,10,10,9.6
Chinatown,127.8,94.44,9.68,9.52,9.8,9.8,9.76,9.4
Crocker Amazon,123.04,93.52,9.72,9.64,9.8,9.8,8.84,9.24
Diamond Heights,207.4117647,92.41176471,9.411764706,9.176470588,9.411764706,9.411764706,9.176470588,9.176470588
Downtown/Civic Center,180.12,92.28,9.56,9.28,9.88,9.72,9.44,9.08
Excelsior,119.8,96.4,9.96,9.8,9.96,9.96,9.2,9.64
Financial District,77.24,91.32,9.48,9.16,9.96,9.68,10,9.16
Glen Park,169.96,96.24,9.88,9.6,9.96,9.92,9.76,9.48
Golden Gate Park,348.5,95.75,10,9.75,10,10,9.75,9.25
Haight Ashbury,122.56,93.88,9.84,9.56,10,9.96,10,9.2
Inner Richmond,164.72,95,9.88,9.68,10,10,9.92,9.32
Inner Sunset,132.64,96.8,9.96,9.84,10,9.92,9.88,9.56
Lakeshore,147,96.88,10,9.8,10,9.92,9.8,9.6
Marina,156.08,93.44,9.76,9.48,9.96,9.92,9.96,9.36
Mission,156.16,97.12,10,9.96,10,10,9.96,9.6
Nob Hill,167.28,94.84,9.84,9.72,9.88,9.84,9.96,9.36
Noe Valley,145.56,96.76,9.96,9.88,10,10,9.92,9.64
North Beach,125.76,94.48,9.84,9.2,10,9.96,9.92,9.48
Ocean View,116.8,96.24,9.88,9.76,10,10,9.44,9.6
Outer Mission,110.8,96.52,9.92,9.88,10,9.96,9.52,9.68
Outer Richmond,130.16,95.68,9.92,9.76,9.96,9.96,9.8,9.56
Outer Sunset,121.76,96.36,9.96,9.8,10,10,9.8,9.64
Pacific Heights,185.72,96.6,9.96,9.76,10,10,10,9.64
Parkside,142.16,96.28,9.92,9.88,10,9.96,9.76,9.52
Potrero Hill,148.2,97.24,10,9.8,10,10,9.96,9.56
Presidio,105,97,10,10,10,10,10,10
Presidio Heights,447.9047619,73.61904762,7.380952381,7.476190476,7.476190476,7.428571429,7.619047619,7.238095238
Russian Hill,187.96,96.04,9.88,9.8,10,9.96,9.96,9.28
Seacliff,249.0454545,84.22727273,8.5,8.454545455,8.590909091,8.590909091,8.545454545,8.363636364
South of Market,158.92,97.36,9.92,9.88,9.96,9.96,9.8,9.6
Treasure Island/YBI,95,0,0,0,0,0,0,0
Twin Peaks,219.2,97,9.92,9.88,9.96,9.96,9.76,9.64
Visitacion Valley,124.84,95.4,9.88,9.76,10,10,9.32,9.44
West of Twin Peaks,122.04,97,10,9.96,10,10,9.88,9.68
Western Addition,135.92,96.92,10,9.72,10,10,10,9.64